Collector,Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
rrc04,2024-02-01 01:10,15547,14,8385,29222,2.29,7975
rrc05,2024-02-01 01:10,51184,20,7146,51184,3.15,7146
rrc06,2024-02-01 01:10,59105,17,5904,25152,2.27,6683
rrc07,2024-02-01 01:10,6667,14,9739,6667,2.3,9739
rrc10,2024-02-01 01:10,20811,15,8043,20811,2.48,8043
rrc11,2024-02-01 01:10,14061,12,5928,199524,2.59,5090
rrc13,2024-02-01 01:10,41722,16,8167,41722,2.71,8167
rrc14,2024-02-01 01:10,14061,12,13876,7575,2.01,10116
rrc20,2024-02-01 01:10,12307,26,7036,12307,3.42,7036
rrc21,2024-02-01 01:10,2027,17,17953,199524,2.87,5324
rrc22,2024-02-01 01:10,31554,8,10309,56430,1.84,9048
rrc23,2024-02-01 01:10,18106,19,12069,18106,2.0,12069
rrc24,2024-02-01 01:10,270014,20,6375,270014,2.91,6375
rrc25,2024-02-01 01:10,212123,35,11105,29049,3.46,8059
rrc26,2024-02-01 01:10,49544,13,11731,200612,2.25,7948
rrc00,2024-02-01 01:15,44393,33,106333,202365,3.27,12010
rrc01,2024-02-01 01:15,62167,25,8467,62167,2.88,8467
rrc03,2024-02-01 01:15,8283,26,13489,209650,2.6,8319
rrc04,2024-02-01 01:15,15547,14,8811,29222,2.3,8094
rrc05,2024-02-01 01:15,51184,20,7349,51184,3.14,7349
rrc06,2024-02-01 01:15,59105,17,5978,25152,2.27,6998
rrc07,2024-02-01 01:15,6667,14,9836,6667,2.32,9836
rrc10,2024-02-01 01:15,20811,15,8135,20811,2.5,8135
rrc11,2024-02-01 01:15,14061,12,6035,199524,2.6,5255
rrc13,2024-02-01 01:15,41722,16,8285,41722,2.72,8285
rrc14,2024-02-01 01:15,14061,12,14017,7575,2.01,10382
rrc20,2024-02-01 01:15,12307,26,7147,12307,3.46,7147
rrc21,2024-02-01 01:15,2027,17,18332,199524,2.85,5446
rrc22,2024-02-01 01:15,56430,9,9143,56430,1.86,9143
rrc23,2024-02-01 01:15,18106,19,12408,4775,2.83,6
rrc24,2024-02-01 01:15,270014,21,6469,270014,2.93,6469
rrc25,2024-02-01 01:15,212123,35,11374,29049,3.46,8239
rrc26,2024-02-01 01:15,49544,13,12096,200612,2.26,8184
rrc00,2024-02-01 01:20,44393,34,106458,202365,3.29,12074
rrc01,2024-02-01 01:20,62167,25,8555,62167,2.91,8555
rrc03,2024-02-01 01:20,8283,26,13699,209650,2.62,8371
rrc04,2024-02-01 01:20,15547,14,8925,29222,2.31,8221
rrc05,2024-02-01 01:20,51184,20,7445,51184,3.13,7445
rrc06,2024-02-01 01:20,59105,17,6101,25152,2.26,7108
rrc07,2024-02-01 01:20,6667,14,9881,6667,2.33,9881
rrc10,2024-02-01 01:20,20811,15,8187,20811,2.5,8187
rrc11,2024-02-01 01:20,14061,12,6081,199524,2.61,5300
rrc13,2024-02-01 01:20,41722,16,8335,41722,2.74,8335
rrc14,2024-02-01 01:20,14061,12,14136,7575,2.01,10425
rrc20,2024-02-01 01:20,12307,27,7201,12307,3.48,7201
rrc21,2024-02-01 01:20,2027,17,18632,199524,2.83,5551
rrc22,2024-02-01 01:20,56430,10,9275,56430,1.86,9275
rrc23,2024-02-01 01:20,18106,19,12593,4775,2.83,6
rrc24,2024-02-01 01:20,270014,21,6549,270014,2.95,6549
rrc25,2024-02-01 01:20,212123,35,11489,29049,3.46,8348
rrc26,2024-02-01 01:20,49544,13,12169,200612,2.26,8250
rrc00,2024-02-01 01:25,44393,34,107159,202365,3.35,12248
rrc01,2024-02-01 01:25,62167,25,8698,62167,2.95,8698
rrc03,2024-02-01 01:25,8283,26,13872,209650,2.65,8506
rrc04,2024-02-01 01:25,15547,14,9077,29222,2.36,8369
rrc05,2024-02-01 01:25,51184,20,7589,51184,3.15,7589
rrc06,2024-02-01 01:25,59105,17,6242,25152,2.29,7248
rrc07,2024-02-01 01:25,6667,15,10027,6667,2.35,10027
rrc10,2024-02-01 01:25,20811,15,8314,20811,2.52,8314
rrc11,2024-02-01 01:25,14061,12,6233,199524,2.63,5413
rrc13,2024-02-01 01:25,35598,17,16548,41722,2.77,8476
rrc14,2024-02-01 01:25,14061,12,14275,7575,2.02,10567
rrc20,2024-02-01 01:25,12307,30,7368,12307,3.51,7368
rrc21,2024-02-01 01:25,2027,18,18808,199524,2.86,5670
rrc22,2024-02-01 01:25,56430,10,9392,56430,1.87,9392
rrc23,2024-02-01 01:25,18106,19,12949,4775,2.83,6
rrc24,2024-02-01 01:25,270014,21,6674,270014,2.98,6674
rrc25,2024-02-01 01:25,212123,37,11659,29049,3.48,8503
rrc26,2024-02-01 01:25,49544,13,12323,200612,2.27,8398
rrc00,2024-02-01 01:30,44393,34,196576,202365,3.39,12793
rrc01,2024-02-01 01:30,62167,25,10076,62167,2.82,10076
rrc03,2024-02-01 01:30,8283,28,14072,209650,2.63,9412
rrc04,2024-02-01 01:30,29222,15,9113,29222,2.35,9113
rrc05,2024-02-01 01:30,51184,20,7762,51184,3.19,7762
rrc06,2024-02-01 01:30,59105,17,6554,25152,2.27,7510
rrc07,2024-02-01 01:30,6667,15,10512,6667,2.36,10512
rrc10,2024-02-01 01:30,20811,15,8565,20811,2.52,8565
rrc11,2024-02-01 01:30,14061,12,7690,199524,2.56,6189
rrc13,2024-02-01 01:30,35598,17,17135,41722,2.67,9578
rrc14,2024-02-01 01:30,14061,12,14414,7575,2.03,10943
rrc20,2024-02-01 01:30,12307,32,7783,12307,3.52,7783
rrc21,2024-02-01 01:30,2027,19,19097,199524,2.82,6456
rrc22,2024-02-01 01:30,56430,10,10715,31554,1.86,11112
rrc23,2024-02-01 01:30,18106,19,14128,4775,2.83,6
rrc24,2024-02-01 01:30,270014,21,7034,270014,2.94,7034
rrc25,2024-02-01 01:30,212123,37,12234,212123,3.12,12234
rrc26,2024-02-01 01:30,49544,14,12873,200612,2.26,8924
rrc00,2024-02-01 01:35,44393,36,200459,202365,3.41,12884
rrc01,2024-02-01 01:35,62167,25,10164,62167,2.85,10164
rrc03,2024-02-01 01:35,8283,28,14168,209650,2.65,9482
rrc04,2024-02-01 01:35,29222,15,9183,29222,2.35,9183
rrc05,2024-02-01 01:35,51184,21,7813,51184,3.22,7813
rrc06,2024-02-01 01:35,59105,19,6612,25152,2.25,7710
rrc07,2024-02-01 01:35,6667,15,10591,6667,2.38,10591
rrc10,2024-02-01 01:35,20811,15,8622,20811,2.53,8622
rrc11,2024-02-01 01:35,14061,12,8036,199524,2.58,6249
rrc13,2024-02-01 01:35,35598,17,17230,41722,2.39,16613
rrc14,2024-02-01 01:35,14061,12,14510,7575,2.03,11011
rrc20,2024-02-01 01:35,12307,32,7871,12307,3.53,7871
rrc21,2024-02-01 01:35,2027,19,19292,199524,2.84,6565
rrc22,2024-02-01 01:35,56430,10,10986,56430,1.9,10986
rrc23,2024-02-01 01:35,18106,19,14211,4775,2.83,6
rrc24,2024-02-01 01:35,270014,21,7104,270014,2.98,7104
rrc25,2024-02-01 01:35,212123,37,12302,212123,3.14,12302
rrc26,2024-02-01 01:35,49544,14,13097,200612,2.26,9029
rrc00,2024-02-01 01:40,44393,36,201068,202365,3.43,12972
rrc01,2024-02-01 01:40,62167,25,10268,62167,2.88,10268
rrc03,2024-02-01 01:40,8283,28,14263,209650,2.65,9591
rrc04,2024-02-01 01:40,29222,15,9256,29222,2.36,9256
rrc05,2024-02-01 01:40,51184,21,7876,51184,3.22,7876
rrc06,2024-02-01 01:40,59105,19,6739,25152,2.26,7757
rrc07,2024-02-01 01:40,6667,15,10765,6667,2.37,10765
rrc10,2024-02-01 01:40,20811,15,8673,20811,2.53,8673
rrc11,2024-02-01 01:40,14061,12,8106,199524,2.58,6300
rrc13,2024-02-01 01:40,35598,17,17308,41722,1.89,29274
rrc14,2024-02-01 01:40,14061,12,14583,7575,2.03,11196
rrc20,2024-02-01 01:40,12307,32,7931,12307,3.55,7931
rrc21,2024-02-01 01:40,2027,20,19545,199524,2.84,6617
rrc22,2024-02-01 01:40,56430,10,11073,56430,1.9,11073
rrc23,2024-02-01 01:40,18106,20,14310,4775,2.83,6
rrc24,2024-02-01 01:40,270014,21,7208,270014,2.98,7208
rrc25,2024-02-01 01:40,212123,37,12365,212123,3.16,12365
rrc26,2024-02-01 01:40,49544,14,13262,200612,2.26,9112
rrc00,2024-02-01 01:45,44393,36,201137,44103,3.09,9953
rrc01,2024-02-01 01:45,62167,25,10325,62167,2.89,10325
rrc03,2024-02-01 01:45,8283,28,14324,209650,2.66,9664
rrc04,2024-02-01 01:45,29222,15,9315,29222,2.37,9315
rrc05,2024-02-01 01:45,51184,21,8101,51184,3.2,8101
rrc06,2024-02-01 01:45,59105,19,6807,25152,2.28,7838
rrc07,2024-02-01 01:45,6667,15,10851,6667,2.38,10851
rrc10,2024-02-01 01:45,20811,15,8734,20811,2.55,8734
rrc11,2024-02-01 01:45,14061,12,8169,199524,2.59,6345
rrc13,2024-02-01 01:45,41722,18,29609,41722,1.98,29609
rrc14,2024-02-01 01:45,14061,12,14667,7575,2.04,11249
