AS1,AS2,Prefix
2828,7014,216.149.96.0/19
START,3333,216.30.64.0/20
3333,1103,216.30.64.0/20
1103,3257,216.30.64.0/20
3257,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,3333,216.149.64.0/21
3333,1103,216.149.64.0/21
1103,3257,216.149.64.0/21
3257,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,29608,222.255.168.0/23
29608,174,222.255.168.0/23
174,3257,222.255.168.0/23
3257,58453,222.255.168.0/23
58453,45899,222.255.168.0/23
45899,7643,222.255.168.0/23
START,29608,85.133.172.0/22
29608,3356,85.133.172.0/22
3356,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,29608,85.133.204.0/22
29608,3356,85.133.204.0/22
3356,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,29608,85.133.236.0/22
29608,3356,85.133.236.0/22
3356,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,29608,212.80.21.0/24
29608,3356,212.80.21.0/24
3356,3491,212.80.21.0/24
3491,12880,212.80.21.0/24
12880,44285,212.80.21.0/24
44285,21341,212.80.21.0/24
21341,50733,212.80.21.0/24
START,29608,216.205.252.0/24
29608,3356,216.205.252.0/24
3356,701,216.205.252.0/24
701,20374,216.205.252.0/24
START,29608,41.63.52.0/22
29608,3356,41.63.52.0/22
3356,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,29608,41.63.56.0/22
29608,3356,41.63.56.0/22
3356,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,1836,216.149.80.0/20
1836,3356,216.149.80.0/20
3356,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,1836,216.149.64.0/21
1836,3356,216.149.64.0/21
3356,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,1836,207.87.128.0/19
1836,3356,207.87.128.0/19
3356,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,1836,216.149.224.0/19
1836,3356,216.149.224.0/19
3356,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,1836,209.31.244.0/22
1836,3356,209.31.244.0/22
3356,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,1836,216.149.72.0/22
1836,3356,216.149.72.0/22
3356,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,1836,65.44.0.0/18
1836,3356,65.44.0.0/18
3356,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,1836,216.149.96.0/19
1836,3356,216.149.96.0/19
3356,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,1836,216.30.64.0/20
1836,3356,216.30.64.0/20
3356,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,1836,216.5.240.0/20
1836,3356,216.5.240.0/20
3356,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3333,216.149.96.0/19
3333,1273,216.149.96.0/19
1273,3356,216.149.96.0/19
3356,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,3333,216.149.80.0/20
3333,1273,216.149.80.0/20
1273,3356,216.149.80.0/20
3356,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,3333,216.5.240.0/20
3333,1273,216.5.240.0/20
1273,3356,216.5.240.0/20
3356,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3333,207.87.128.0/19
3333,1273,207.87.128.0/19
1273,3356,207.87.128.0/19
3356,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,3333,216.149.72.0/22
